country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,,,62.4,,,,,67.8,,,,,,,59.5,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,,,59.9,,67.4,,,69,,66,,,55.2,,54.9,,,,54.6,,,
Montenegro,,,,,,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,39.4,39.4,,,,,,,23.3,,,,
Morocco,,,,,,,,,,,,,,,,,,,,19.4,,,,25.5,,,35.8,,,,,41.5,,,50.3,,58.4,,,,,,,63,,,,,,,67.4,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,25.5,,,,,16.2,,,11.6,,,,27.1,,
Myanmar,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,16.8,,,,,,32.7,,,,37,,34.3,,,,41,,,46,,,,,,52.2,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,28.9,,,,,,,,43.7,,,,,,,55.1,,,,,,56.1,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,2.4,,,,,6.8,,,,,15.1,,,,,,24.1,,,,28.5,,,,37.3,39.3,,,38.3,,48,,,,,49.7,,,49.6,,52.6,
Netherlands,,,,,,,,,59,,,,,,75,,73,,,,,76.9,,,72,,,76.2,,,,,78.5,,,,,75,,,,,75,,,,,75,,,,,73,,,,
New Zealand,,,,,,,,,,,,,,,,70.1,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,48.7,,,,,60.3,,,68.6,,,,,,72.4,,,,,80.4,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,8.2,,14,,,,,,11.2,,,,18,,13.9,,,,16.9,18.9
Nigeria,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,6,,,,13.4,,,,,15.3,,,,12.6,,,,14.7,14.6,,,14.1,13.5,15.1,,,20.4,13.4
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,61.9,,,,62,67.3,,,,,68.6,,,,,,,,70.6,,,,78.2,,,
North Macedonia,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,40.2,,,,,,
Norway,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,73.8,,,,,,,,,86.5,,,,,,,88.4,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,23.7,,,,,31.7,,,,,,,,24.4,,,,,,29.7,,,
Pakistan,,,,,,,,,5.5,,,,,,5.4,,,,,3.3,,,,,9.1,,,,,14.5,11.8,,21.9,,17.8,13,23.9,,17,,27.6,,32.1,,,26,29.6,27,,,,29,35.4,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,32.8,,,,21,,,22.3,,,,,,,
